MPG,Cylinders,Horsepowers,Origin Country
33.5,4,70,Japan
17.5,8,145,US
17,8,110,US
15.5,8,145,US
15,8,130,US
17.5,6,110,US
20.5,6,105,US
19,6,100,US
18.5,6,98,US
16,8,180,US
15.5,8,170,US
15.5,8,190,US
16,8,149,US
29,4,78,Europe
24.5,4,88,US
26,4,75,Japan
25.5,4,89,US
30.5,4,63,US
33.5,4,83,US
30,4,67,Japan
30.5,4,78,Europe
22,6,97,Japan
21.5,4,110,Europe
21.5,3,110,Japan
43.1,4,48,Europe
36.1,4,66,US
32.8,4,52,Japan
39.4,4,70,Japan
36.1,4,60,Japan
19.9,8,110,US
19.4,8,140,US
20.2,8,139,US
19.2,6,105,US
20.5,6,95,US
20.2,6,85,US
25.1,4,88,US
20.5,6,100,US
19.4,6,90,US
20.6,6,105,US
20.8,6,85,US
18.6,6,110,US
18.1,6,120,US
19.2,8,145,US
17.7,6,165,US
18.1,8,139,US
17.5,8,140,US
30,4,68,US
27.5,4,95,Japan
27.2,4,97,Japan
30.9,4,75,US
21.1,4,95,Japan
23.2,4,105,US
23.8,4,85,US
23.9,4,97,Japan
20.3,5,103,Europe
17,6,125,Europe
21.6,4,115,Europe
16.2,6,133,Europe
31.5,4,71,Europe
29.5,4,68,Japan
21.5,6,115,US
19.8,6,85,US
22.3,4,88,US
20.2,6,90,US
20.6,6,110,US
17,8,130,US
17.6,8,129,US
16.5,8,138,US
18.2,8,135,US
16.9,8,155,US
15.5,8,142,US
19.2,8,125,US
18.5,8,150,US
31.9,4,71,Europe
34.1,4,65,Japan
35.7,4,80,US
27.4,4,80,US
25.4,5,77,Europe
23,8,125,US
27.2,4,71,Europe
23.9,8,90,US
34.2,4,70,US
34.5,4,70,US
31.8,4,65,Japan
37.3,4,69,Europe
28.4,4,90,US
28.8,6,115,US
26.8,6,115,US
33.5,4,90,US
41.5,4,76,Europe
38.1,4,60,Japan
32.1,4,70,US
37.2,4,65,Japan
28,4,90,US
26.4,4,88,US
24.3,4,90,US
19.1,6,90,US
34.3,4,78,Europe
29.8,4,90,Japan
31.3,4,75,Japan
37,4,92,Japan
32.2,4,75,Japan
46.6,4,65,Japan
27.9,4,105,US
40.8,4,65,Japan
44.3,4,48,Europe
43.4,4,48,Europe
36.4,5,67,Europe
30,4,67,Europe
44.6,4,67,Japan
40.9,4,0,Europe
33.8,4,67,Japan
29.8,4,62,Europe
32.7,6,132,Japan
23.7,3,100,Japan
35,4,88,Europe
23.6,4,0,US
32.4,4,72,Japan
27.2,4,84,US
26.6,4,84,US
25.8,4,92,US
23.5,6,110,US
30,4,84,US
39.1,4,58,Japan
39,4,64,US
35.1,4,60,Japan
32.3,4,67,Japan
37,4,65,Japan
37.7,4,62,Japan
34.1,4,68,Japan
34.7,4,63,US
34.4,4,65,US
29.9,4,65,US
33,4,74,Europe
34.5,4,0,Europe
33.7,4,75,Japan
32.4,4,75,Japan
32.9,4,100,Japan
31.6,4,74,Japan
28.1,4,80,Europe
0,4,110,Europe
30.7,6,76,Europe
25.4,6,116,Japan
24.2,6,120,Japan
22.4,6,110,US
26.6,8,105,US
20.2,6,88,US
17.6,6,85,US
28,4,88,US
27,4,88,US
34,4,88,US
31,4,85,US
29,4,84,US
27,4,90,US
24,4,92,US
23,4,0,US
36,4,74,Europe
37,4,68,Japan
31,4,68,Japan
38,4,63,US
36,4,70,US
36,4,88,Japan
36,4,75,Japan
34,4,70,Japan
38,4,67,Japan
32,4,67,Japan
38,4,67,Japan
25,6,110,US
38,6,85,US
26,4,92,US
22,6,112,US
32,4,96,Japan
36,4,84,US
27,4,90,US
27,4,86,US
44,4,52,Europe
32,4,84,US
28,4,79,US
31,4,82,US
